group,product,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
DAA,asunaprevir,4484657.0,9356292.0,640881.0,148243.5,176919.5,168797.53,112306.0,80621.5,77797.5,62655.0
DAA,daclatasvir,2251958.9412000002,4753678.0,327611.0,148243.5,176919.5,168797.53,112306.0,80621.5,77797.5,62655.0
DAA,elbasvir,0.0,0.0,134328.0,630813.0,182071.0,168797.53,112306.0,80621.5,77797.5,62655.0
DAA,glecaprevir/pibrentasvir,0.0,0.0,0.0,1203985.0,4344355.0,2805095.0,2184793.0,1852610.0,1444075.0,1346716.0
DAA,grazoprevir,0.0,0.0,267870.0,1259567.0,319248.0,176563.53,112306.0,80621.5,77797.5,62655.0
DAA,ledipasvir/sofosbuvir,0.0,3010098.0,2748462.0,790100.0,330975.0,240881.0,169098.0,140067.0,78366.5,62655.0
DAA,ombitasvir/paritaprevir/ritonavir,0.0,187272.0,1240660.0,473607.0,176919.5,168797.53,112306.0,80621.5,77797.5,62655.0
DAA,sofosbuvir,0.0,2067521.0,1423306.0,704776.0,176919.5,168797.53,112306.0,80621.5,77797.5,62655.0
DAA,sofosbuvir/velpatasvir,0.0,0.0,0.0,0.0,0.0,176865.53,113564.0,80859.5,79696.0,181271.0
IFN_conv,interferon_conventional,328799.59933,227560.19767,171964.0331,133380.467,106117.0,78455.5,56980.009659999996,47144.528,37296.0,23671.0
IFN_peg,peginterferon,621330.82485,134077.535,35685.981,24173.054,17159.5,13958.2,11009.8,10530.8,9070.57,6834.5
PI_ifn,simeprevir,1132423.0,88342.61499999999,94940.92500000002,148243.5,176919.5,168797.53,112306.0,80621.5,77797.5,62655.0
PI_ifn,telaprevir,0.0,86443.61499999999,94940.92500000002,148243.5,176919.5,168797.53,112306.0,80621.5,77797.5,62655.0
PI_ifn,vaniprevir,0.0,167963.0,94940.92500000002,148243.5,176919.5,168797.53,112306.0,80621.5,77797.5,62655.0
ribavirin,ribavirin,10166158.65,8100850.33,4849659.75,2687889.933,178256.5,180144.53,112306.0,80621.5,77797.5,62561.0
