group,product,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
DAA,asunaprevir,4484657.0,9356292.0,640881.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAA,daclatasvir,2251958.9412000002,4753678.0,327611.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAA,elbasvir,0.0,0.0,134328.0,630813.0,56542.0,0.0,0.0,0.0,0.0,0.0
DAA,glecaprevir/pibrentasvir,0.0,0.0,0.0,1203985.0,4344355.0,2805095.0,2184793.0,1852610.0,1444075.0,1346716.0
DAA,grazoprevir,0.0,0.0,267870.0,1259567.0,319248.0,59375.0,0.0,0.0,0.0,0.0
DAA,ledipasvir/sofosbuvir,0.0,3010098.0,2748462.0,790100.0,330975.0,240881.0,169098.0,140067.0,77347.0,0.0
DAA,ombitasvir/paritaprevir/ritonavir,0.0,187272.0,1240660.0,473607.0,0.0,0.0,0.0,0.0,0.0,0.0
DAA,sofosbuvir,0.0,2067521.0,1423306.0,704776.0,0.0,0.0,0.0,0.0,0.0,0.0
DAA,sofosbuvir/velpatasvir,0.0,0.0,0.0,0.0,0.0,59677.0,2878.0,1399.0,23769.0,181271.0
IFN_conv,interferon_conventional,326801.59933,224563.19767,168967.0331,130383.467,103120.0,75458.5,54982.009659999996,45146.528,35298.0,21673.0
IFN_peg,peginterferon,619332.82485,131080.535,33687.981,21176.054,14162.5,10961.2,8012.8,7533.8,7072.57,4836.5
PI_ifn,simeprevir,826748.0,3529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PI_ifn,telaprevir,0.0,1630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PI_ifn,vaniprevir,0.0,167963.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ribavirin,ribavirin,10166158.65,8100850.33,4849659.75,2687889.933,3124.5,62956.0,0.0,0.0,0.0,0.0
