edition,fy,group,product,drug_name,yakko_class,unit,sheet,total_qty
10,2023,DAA,sofosbuvir/velpatasvir,エプクルーサ配合錠,抗ウイルス剤,錠,内服薬 外来 (院外),126695.0
10,2023,DAA,glecaprevir/pibrentasvir,マヴィレット配合錠,抗ウイルス剤,錠,内服薬 外来 (院内),399564.0
10,2023,DAA,sofosbuvir/velpatasvir,エプクルーサ配合錠,抗ウイルス剤,錠,内服薬 外来 (院内),51817.0
10,2023,DAA,glecaprevir/pibrentasvir,マヴィレット配合錠,抗ウイルス剤,錠,内服薬 入院,8882.0
10,2023,DAA,sofosbuvir/velpatasvir,エプクルーサ配合錠,抗ウイルス剤,錠,内服薬 入院,2759.0
10,2023,ribavirin,ribavirin,レベトールカプセル２００ｍｇ,抗ウイルス剤,カプセル,内服薬 入院,0.0
10,2023,IFN_conv,interferon_conventional,スミフェロン注ＤＳ３００万ＩＵ　３００万国際単位,その他の生物学的製剤,筒,注射薬 外来 (院内),7825.0
10,2023,IFN_peg,peginterferon,ペガシス皮下注１８０μｇ　１ｍＬ,その他の生物学的製剤,瓶,注射薬 外来 (院内),2773.0
10,2023,IFN_peg,peginterferon,ペガシス皮下注９０μｇ　１ｍＬ,その他の生物学的製剤,瓶,注射薬 外来 (院内),2063.5
10,2023,IFN_conv,interferon_conventional,スミフェロン注ＤＳ６００万ＩＵ　６００万国際単位,その他の生物学的製剤,筒,注射薬 外来 (院内),1013.0
10,2023,IFN_conv,interferon_conventional,フエロン注射用３００万　３００万国際単位（溶解液付）,その他の生物学的製剤,瓶,注射薬 外来 (院内),0.0
10,2023,IFN_conv,interferon_conventional,スミフェロン注ＤＳ３００万ＩＵ　３００万国際単位,その他の生物学的製剤,筒,注射薬 外来 (院外),10093.0
10,2023,IFN_conv,interferon_conventional,スミフェロン注ＤＳ６００万ＩＵ　６００万国際単位,その他の生物学的製剤,筒,注射薬 外来 (院外),2742.0
10,2023,IFN_conv,interferon_conventional,スミフェロン注ＤＳ３００万ＩＵ　３００万国際単位,その他の生物学的製剤,筒,注射薬 入院,0.0
10,2023,IFN_conv,interferon_conventional,スミフェロン注ＤＳ６００万ＩＵ　６００万国際単位,その他の生物学的製剤,筒,注射薬 入院,0.0
10,2023,IFN_peg,peginterferon,ペガシス皮下注９０μｇ　１ｍＬ,その他の生物学的製剤,瓶,注射薬 入院,0.0
10,2023,IFN_peg,peginterferon,ペガシス皮下注１８０μｇ　１ｍＬ,その他の生物学的製剤,瓶,注射薬 入院,0.0
10,2023,IFN_conv,interferon_conventional,フエロン注射用３００万　３００万国際単位（溶解液付）,その他の生物学的製剤,瓶,注射薬 入院,0.0
10,2023,IFN_conv,interferon_conventional,フエロン注射用１００万　１００万国際単位（溶解液付）,その他の生物学的製剤,瓶,注射薬 入院,0.0
