edition,fy,group,product,drug_name,yakko_class,unit,sheet,total_qty
3,2016,ribavirin,ribavirin,コペガス錠２００ｍｇ,抗ウイルス剤,錠,内服薬 入院,22055.0
3,2016,DAA,asunaprevir,スンベプラカプセル１００ｍｇ,抗ウイルス剤,カプセル,内服薬 入院,11965.0
3,2016,DAA,grazoprevir,グラジナ錠５０ｍｇ,抗ウイルス剤,錠,内服薬 入院,10408.0
3,2016,DAA,daclatasvir,ダクルインザ錠６０ｍｇ,抗ウイルス剤,錠,内服薬 入院,6100.0
3,2016,DAA,elbasvir,エレルサ錠５０ｍｇ,抗ウイルス剤,錠,内服薬 入院,5206.0
3,2016,IFN_conv,interferon_conventional,スミフェロン注ＤＳ３００万ＩＵ　３００万国際単位,その他の生物学的製剤,筒,注射薬 外来 (院内),41528.5
3,2016,IFN_conv,interferon_conventional,フエロン注射用３００万　３００万国際単位（溶解液付）,その他の生物学的製剤,瓶,注射薬 外来 (院内),31324.8
3,2016,IFN_peg,peginterferon,ペガシス皮下注９０μｇ　１ｍＬ,その他の生物学的製剤,瓶,注射薬 外来 (院内),15186.366
3,2016,IFN_peg,peginterferon,ペガシス皮下注１８０μｇ　１ｍＬ,その他の生物学的製剤,瓶,注射薬 外来 (院内),13851.920000000002
3,2016,IFN_conv,interferon_conventional,スミフェロン注ＤＳ６００万ＩＵ　６００万国際単位,その他の生物学的製剤,筒,注射薬 外来 (院内),13121.0
