fy,DAA,IFN_conv,IFN_peg,PI_ifn,ribavirin
2014,6736615.9412,328799.59933,621330.82485,1132423.0,10166158.65
2015,19374861.0,227560.19767,134077.535,342749.23,8100850.33
2016,6783118.0,171964.0331,35685.981,284822.775,4849659.75
2017,5359335.0,133380.467,24173.054,444730.5,2687889.933
2018,5884327.0,106117.0,17159.5,530758.5,178256.5
2019,4243392.71,78455.5,13958.2,506392.58999999997,180144.53
2020,3141291.0,56980.009659999996,11009.8,336918.0,112306.0
2021,2557265.5,47144.528,10530.8,241864.5,80621.5
2022,2068922.5,37296.0,9070.57,233392.5,77797.5
2023,1966572.0,23671.0,6834.5,187965.0,62561.0
