fy,group,product,sheet,yakko_class,max_hidden_qty,reason
2022,DAA,grazoprevir,内服薬 入院,抗ウイルス剤,1019.5,not among top 100 listed products
2022,DAA,grazoprevir,内服薬 外来 (院内),抗ウイルス剤,20851.0,not among top 100 listed products
2022,DAA,grazoprevir,内服薬 外来 (院外),抗ウイルス剤,55927.0,not among top 100 listed products
2023,DAA,grazoprevir,内服薬 入院,抗ウイルス剤,1093.0,not among top 100 listed products
2023,DAA,grazoprevir,内服薬 外来 (院内),抗ウイルス剤,19603.0,not among top 100 listed products
2023,DAA,grazoprevir,内服薬 外来 (院外),抗ウイルス剤,41959.0,not among top 100 listed products
2022,DAA,ledipasvir/sofosbuvir,内服薬 入院,抗ウイルス剤,1019.5,not among top 100 listed products
2023,DAA,ledipasvir/sofosbuvir,内服薬 入院,抗ウイルス剤,1093.0,not among top 100 listed products
2023,DAA,ledipasvir/sofosbuvir,内服薬 外来 (院内),抗ウイルス剤,19603.0,not among top 100 listed products
2023,DAA,ledipasvir/sofosbuvir,内服薬 外来 (院外),抗ウイルス剤,41959.0,not among top 100 listed products
2018,DAA,ombitasvir/paritaprevir/ritonavir,内服薬 入院,抗ウイルス剤,1787.5,not among top 100 listed products
2018,DAA,ombitasvir/paritaprevir/ritonavir,内服薬 外来 (院内),抗ウイルス剤,49603.0,not among top 100 listed products
2018,DAA,ombitasvir/paritaprevir/ritonavir,内服薬 外来 (院外),抗ウイルス剤,125529.0,not among top 100 listed products
2019,DAA,ombitasvir/paritaprevir/ritonavir,内服薬 入院,抗ウイルス剤,1968.0,not among top 100 listed products
2019,DAA,ombitasvir/paritaprevir/ritonavir,内服薬 外来 (院内),抗ウイルス剤,49641.0,not among top 100 listed products
2019,DAA,ombitasvir/paritaprevir/ritonavir,内服薬 外来 (院外),抗ウイルス剤,117188.53,not among top 100 listed products
2020,DAA,ombitasvir/paritaprevir/ritonavir,内服薬 入院,抗ウイルス剤,1620.0,not among top 100 listed products
2020,DAA,ombitasvir/paritaprevir/ritonavir,内服薬 外来 (院内),抗ウイルス剤,34006.0,not among top 100 listed products
2020,DAA,ombitasvir/paritaprevir/ritonavir,内服薬 外来 (院外),抗ウイルス剤,76680.0,not among top 100 listed products
2021,DAA,ombitasvir/paritaprevir/ritonavir,内服薬 入院,抗ウイルス剤,1161.0,not among top 100 listed products
2021,DAA,ombitasvir/paritaprevir/ritonavir,内服薬 外来 (院内),抗ウイルス剤,21740.5,not among top 100 listed products
2021,DAA,ombitasvir/paritaprevir/ritonavir,内服薬 外来 (院外),抗ウイルス剤,57720.0,not among top 100 listed products
2022,DAA,ombitasvir/paritaprevir/ritonavir,内服薬 入院,抗ウイルス剤,1019.5,not among top 100 listed products
2022,DAA,ombitasvir/paritaprevir/ritonavir,内服薬 外来 (院内),抗ウイルス剤,20851.0,not among top 100 listed products
2022,DAA,ombitasvir/paritaprevir/ritonavir,内服薬 外来 (院外),抗ウイルス剤,55927.0,not among top 100 listed products
2023,DAA,ombitasvir/paritaprevir/ritonavir,内服薬 入院,抗ウイルス剤,1093.0,not among top 100 listed products
2023,DAA,ombitasvir/paritaprevir/ritonavir,内服薬 外来 (院内),抗ウイルス剤,19603.0,not among top 100 listed products
2023,DAA,ombitasvir/paritaprevir/ritonavir,内服薬 外来 (院外),抗ウイルス剤,41959.0,not among top 100 listed products
2018,DAA,sofosbuvir,内服薬 入院,抗ウイルス剤,1787.5,not among top 100 listed products
2018,DAA,sofosbuvir,内服薬 外来 (院内),抗ウイルス剤,49603.0,not among top 100 listed products
2018,DAA,sofosbuvir,内服薬 外来 (院外),抗ウイルス剤,125529.0,not among top 100 listed products
2019,DAA,sofosbuvir,内服薬 入院,抗ウイルス剤,1968.0,not among top 100 listed products
2019,DAA,sofosbuvir,内服薬 外来 (院内),抗ウイルス剤,49641.0,not among top 100 listed products
2019,DAA,sofosbuvir,内服薬 外来 (院外),抗ウイルス剤,117188.53,not among top 100 listed products
2020,DAA,sofosbuvir,内服薬 入院,抗ウイルス剤,1620.0,not among top 100 listed products
2020,DAA,sofosbuvir,内服薬 外来 (院内),抗ウイルス剤,34006.0,not among top 100 listed products
2020,DAA,sofosbuvir,内服薬 外来 (院外),抗ウイルス剤,76680.0,not among top 100 listed products
2021,DAA,sofosbuvir,内服薬 入院,抗ウイルス剤,1161.0,not among top 100 listed products
2021,DAA,sofosbuvir,内服薬 外来 (院内),抗ウイルス剤,21740.5,not among top 100 listed products
2021,DAA,sofosbuvir,内服薬 外来 (院外),抗ウイルス剤,57720.0,not among top 100 listed products
2022,DAA,sofosbuvir,内服薬 入院,抗ウイルス剤,1019.5,not among top 100 listed products
2022,DAA,sofosbuvir,内服薬 外来 (院内),抗ウイルス剤,20851.0,not among top 100 listed products
2022,DAA,sofosbuvir,内服薬 外来 (院外),抗ウイルス剤,55927.0,not among top 100 listed products
2023,DAA,sofosbuvir,内服薬 入院,抗ウイルス剤,1093.0,not among top 100 listed products
2023,DAA,sofosbuvir,内服薬 外来 (院内),抗ウイルス剤,19603.0,not among top 100 listed products
2023,DAA,sofosbuvir,内服薬 外来 (院外),抗ウイルス剤,41959.0,not among top 100 listed products
2019,DAA,sofosbuvir/velpatasvir,内服薬 外来 (院外),抗ウイルス剤,117188.53,not among top 100 listed products
2020,DAA,sofosbuvir/velpatasvir,内服薬 外来 (院内),抗ウイルス剤,34006.0,not among top 100 listed products
2020,DAA,sofosbuvir/velpatasvir,内服薬 外来 (院外),抗ウイルス剤,76680.0,not among top 100 listed products
2021,DAA,sofosbuvir/velpatasvir,内服薬 外来 (院内),抗ウイルス剤,21740.5,not among top 100 listed products
2021,DAA,sofosbuvir/velpatasvir,内服薬 外来 (院外),抗ウイルス剤,57720.0,not among top 100 listed products
2022,DAA,sofosbuvir/velpatasvir,内服薬 外来 (院外),抗ウイルス剤,55927.0,not among top 100 listed products
2014,IFN_conv,interferon_conventional,注射薬 入院,その他の生物学的製剤,999.0,"total shown as '-' (<1,000)"
2014,IFN_conv,interferon_conventional,注射薬 外来 (院外),その他の生物学的製剤,999.0,"total shown as '-' (<1,000)"
2015,IFN_conv,interferon_conventional,注射薬 入院,その他の生物学的製剤,999.0,"total shown as '-' (<1,000)"
2015,IFN_conv,interferon_conventional,注射薬 外来 (院内),その他の生物学的製剤,999.0,"total shown as '-' (<1,000)"
2015,IFN_conv,interferon_conventional,注射薬 外来 (院外),その他の生物学的製剤,999.0,"total shown as '-' (<1,000)"
2016,IFN_conv,interferon_conventional,注射薬 入院,その他の生物学的製剤,999.0,"total shown as '-' (<1,000)"
2016,IFN_conv,interferon_conventional,注射薬 外来 (院内),その他の生物学的製剤,999.0,"total shown as '-' (<1,000)"
2016,IFN_conv,interferon_conventional,注射薬 外来 (院外),その他の生物学的製剤,999.0,"total shown as '-' (<1,000)"
2017,IFN_conv,interferon_conventional,注射薬 入院,その他の生物学的製剤,999.0,"total shown as '-' (<1,000)"
2017,IFN_conv,interferon_conventional,注射薬 外来 (院内),その他の生物学的製剤,999.0,"total shown as '-' (<1,000)"
2017,IFN_conv,interferon_conventional,注射薬 外来 (院外),その他の生物学的製剤,999.0,"total shown as '-' (<1,000)"
2018,IFN_conv,interferon_conventional,注射薬 入院,その他の生物学的製剤,999.0,"total shown as '-' (<1,000)"
2018,IFN_conv,interferon_conventional,注射薬 外来 (院内),その他の生物学的製剤,999.0,"total shown as '-' (<1,000)"
2018,IFN_conv,interferon_conventional,注射薬 外来 (院外),その他の生物学的製剤,999.0,"total shown as '-' (<1,000)"
2019,IFN_conv,interferon_conventional,注射薬 入院,その他の生物学的製剤,999.0,"total shown as '-' (<1,000)"
2019,IFN_conv,interferon_conventional,注射薬 外来 (院内),その他の生物学的製剤,999.0,"total shown as '-' (<1,000)"
2019,IFN_conv,interferon_conventional,注射薬 外来 (院外),その他の生物学的製剤,999.0,"total shown as '-' (<1,000)"
2020,IFN_conv,interferon_conventional,注射薬 入院,その他の生物学的製剤,999.0,"total shown as '-' (<1,000)"
2020,IFN_conv,interferon_conventional,注射薬 外来 (院内),その他の生物学的製剤,999.0,"total shown as '-' (<1,000)"
2021,IFN_conv,interferon_conventional,注射薬 入院,その他の生物学的製剤,999.0,"total shown as '-' (<1,000)"
2021,IFN_conv,interferon_conventional,注射薬 外来 (院内),その他の生物学的製剤,999.0,"total shown as '-' (<1,000)"
2022,IFN_conv,interferon_conventional,注射薬 入院,その他の生物学的製剤,999.0,"total shown as '-' (<1,000)"
2022,IFN_conv,interferon_conventional,注射薬 外来 (院内),その他の生物学的製剤,999.0,"total shown as '-' (<1,000)"
2023,IFN_conv,interferon_conventional,注射薬 入院,その他の生物学的製剤,999.0,"total shown as '-' (<1,000)"
2023,IFN_conv,interferon_conventional,注射薬 外来 (院内),その他の生物学的製剤,999.0,"total shown as '-' (<1,000)"
2014,IFN_peg,peginterferon,注射薬 入院,その他の生物学的製剤,999.0,"total shown as '-' (<1,000)"
2014,IFN_peg,peginterferon,注射薬 外来 (院外),その他の生物学的製剤,999.0,"not listed; class below cap (<1,000)"
2015,IFN_peg,peginterferon,注射薬 入院,その他の生物学的製剤,999.0,"total shown as '-' (<1,000)"
2015,IFN_peg,peginterferon,注射薬 外来 (院内),その他の生物学的製剤,999.0,"total shown as '-' (<1,000)"
2015,IFN_peg,peginterferon,注射薬 外来 (院外),その他の生物学的製剤,999.0,"not listed; class below cap (<1,000)"
2016,IFN_peg,peginterferon,注射薬 入院,その他の生物学的製剤,999.0,"total shown as '-' (<1,000)"
2016,IFN_peg,peginterferon,注射薬 外来 (院外),その他の生物学的製剤,999.0,"not listed; class below cap (<1,000)"
2017,IFN_peg,peginterferon,注射薬 入院,その他の生物学的製剤,999.0,"total shown as '-' (<1,000)"
2017,IFN_peg,peginterferon,注射薬 外来 (院内),その他の生物学的製剤,999.0,"total shown as '-' (<1,000)"
2017,IFN_peg,peginterferon,注射薬 外来 (院外),その他の生物学的製剤,999.0,"not listed; class below cap (<1,000)"
