fy,group,product,sheet,yakko_class,max_hidden_qty,reason
2017,PI_ifn,simeprevir,内服薬 入院,抗ウイルス剤,1875.0,not among top 100 listed products
2017,PI_ifn,simeprevir,内服薬 外来 (院内),抗ウイルス剤,48793.0,not among top 100 listed products
2017,PI_ifn,simeprevir,内服薬 外来 (院外),抗ウイルス剤,97575.5,not among top 100 listed products
2018,PI_ifn,simeprevir,内服薬 入院,抗ウイルス剤,1787.5,not among top 100 listed products
2018,PI_ifn,simeprevir,内服薬 外来 (院内),抗ウイルス剤,49603.0,not among top 100 listed products
2018,PI_ifn,simeprevir,内服薬 外来 (院外),抗ウイルス剤,125529.0,not among top 100 listed products
2019,PI_ifn,simeprevir,内服薬 入院,抗ウイルス剤,1968.0,not among top 100 listed products
2019,PI_ifn,simeprevir,内服薬 外来 (院内),抗ウイルス剤,49641.0,not among top 100 listed products
2019,PI_ifn,simeprevir,内服薬 外来 (院外),抗ウイルス剤,117188.53,not among top 100 listed products
2020,PI_ifn,simeprevir,内服薬 入院,抗ウイルス剤,1620.0,not among top 100 listed products
2020,PI_ifn,simeprevir,内服薬 外来 (院内),抗ウイルス剤,34006.0,not among top 100 listed products
2020,PI_ifn,simeprevir,内服薬 外来 (院外),抗ウイルス剤,76680.0,not among top 100 listed products
2021,PI_ifn,simeprevir,内服薬 入院,抗ウイルス剤,1161.0,not among top 100 listed products
2021,PI_ifn,simeprevir,内服薬 外来 (院内),抗ウイルス剤,21740.5,not among top 100 listed products
2021,PI_ifn,simeprevir,内服薬 外来 (院外),抗ウイルス剤,57720.0,not among top 100 listed products
2022,PI_ifn,simeprevir,内服薬 入院,抗ウイルス剤,1019.5,not among top 100 listed products
2022,PI_ifn,simeprevir,内服薬 外来 (院内),抗ウイルス剤,20851.0,not among top 100 listed products
2022,PI_ifn,simeprevir,内服薬 外来 (院外),抗ウイルス剤,55927.0,not among top 100 listed products
2023,PI_ifn,simeprevir,内服薬 入院,抗ウイルス剤,1093.0,not among top 100 listed products
2023,PI_ifn,simeprevir,内服薬 外来 (院内),抗ウイルス剤,19603.0,not among top 100 listed products
2023,PI_ifn,simeprevir,内服薬 外来 (院外),抗ウイルス剤,41959.0,not among top 100 listed products
2015,PI_ifn,telaprevir,内服薬 外来 (院内),抗ウイルス剤,28812.0,not among top 100 listed products
2015,PI_ifn,telaprevir,内服薬 外来 (院外),抗ウイルス剤,56001.615,not among top 100 listed products
2016,PI_ifn,telaprevir,内服薬 入院,抗ウイルス剤,1058.5,not among top 100 listed products
2016,PI_ifn,telaprevir,内服薬 外来 (院内),抗ウイルス剤,31084.0,not among top 100 listed products
2016,PI_ifn,telaprevir,内服薬 外来 (院外),抗ウイルス剤,62798.42500000001,not among top 100 listed products
2017,PI_ifn,telaprevir,内服薬 入院,抗ウイルス剤,1875.0,not among top 100 listed products
2017,PI_ifn,telaprevir,内服薬 外来 (院内),抗ウイルス剤,48793.0,not among top 100 listed products
2017,PI_ifn,telaprevir,内服薬 外来 (院外),抗ウイルス剤,97575.5,not among top 100 listed products
2018,PI_ifn,telaprevir,内服薬 入院,抗ウイルス剤,1787.5,not among top 100 listed products
2018,PI_ifn,telaprevir,内服薬 外来 (院内),抗ウイルス剤,49603.0,not among top 100 listed products
2018,PI_ifn,telaprevir,内服薬 外来 (院外),抗ウイルス剤,125529.0,not among top 100 listed products
2019,PI_ifn,telaprevir,内服薬 入院,抗ウイルス剤,1968.0,not among top 100 listed products
2019,PI_ifn,telaprevir,内服薬 外来 (院内),抗ウイルス剤,49641.0,not among top 100 listed products
2019,PI_ifn,telaprevir,内服薬 外来 (院外),抗ウイルス剤,117188.53,not among top 100 listed products
2020,PI_ifn,telaprevir,内服薬 入院,抗ウイルス剤,1620.0,not among top 100 listed products
2020,PI_ifn,telaprevir,内服薬 外来 (院内),抗ウイルス剤,34006.0,not among top 100 listed products
2020,PI_ifn,telaprevir,内服薬 外来 (院外),抗ウイルス剤,76680.0,not among top 100 listed products
2021,PI_ifn,telaprevir,内服薬 入院,抗ウイルス剤,1161.0,not among top 100 listed products
2021,PI_ifn,telaprevir,内服薬 外来 (院内),抗ウイルス剤,21740.5,not among top 100 listed products
2021,PI_ifn,telaprevir,内服薬 外来 (院外),抗ウイルス剤,57720.0,not among top 100 listed products
2022,PI_ifn,telaprevir,内服薬 入院,抗ウイルス剤,1019.5,not among top 100 listed products
2022,PI_ifn,telaprevir,内服薬 外来 (院内),抗ウイルス剤,20851.0,not among top 100 listed products
2022,PI_ifn,telaprevir,内服薬 外来 (院外),抗ウイルス剤,55927.0,not among top 100 listed products
2023,PI_ifn,telaprevir,内服薬 入院,抗ウイルス剤,1093.0,not among top 100 listed products
2023,PI_ifn,telaprevir,内服薬 外来 (院内),抗ウイルス剤,19603.0,not among top 100 listed products
2023,PI_ifn,telaprevir,内服薬 外来 (院外),抗ウイルス剤,41959.0,not among top 100 listed products
2016,PI_ifn,vaniprevir,内服薬 入院,抗ウイルス剤,1058.5,not among top 100 listed products
2016,PI_ifn,vaniprevir,内服薬 外来 (院内),抗ウイルス剤,31084.0,not among top 100 listed products
2016,PI_ifn,vaniprevir,内服薬 外来 (院外),抗ウイルス剤,62798.42500000001,not among top 100 listed products
2017,PI_ifn,vaniprevir,内服薬 入院,抗ウイルス剤,1875.0,not among top 100 listed products
2017,PI_ifn,vaniprevir,内服薬 外来 (院内),抗ウイルス剤,48793.0,not among top 100 listed products
2017,PI_ifn,vaniprevir,内服薬 外来 (院外),抗ウイルス剤,97575.5,not among top 100 listed products
2018,PI_ifn,vaniprevir,内服薬 入院,抗ウイルス剤,1787.5,not among top 100 listed products
2018,PI_ifn,vaniprevir,内服薬 外来 (院内),抗ウイルス剤,49603.0,not among top 100 listed products
2018,PI_ifn,vaniprevir,内服薬 外来 (院外),抗ウイルス剤,125529.0,not among top 100 listed products
2019,PI_ifn,vaniprevir,内服薬 入院,抗ウイルス剤,1968.0,not among top 100 listed products
2019,PI_ifn,vaniprevir,内服薬 外来 (院内),抗ウイルス剤,49641.0,not among top 100 listed products
2019,PI_ifn,vaniprevir,内服薬 外来 (院外),抗ウイルス剤,117188.53,not among top 100 listed products
2020,PI_ifn,vaniprevir,内服薬 入院,抗ウイルス剤,1620.0,not among top 100 listed products
2020,PI_ifn,vaniprevir,内服薬 外来 (院内),抗ウイルス剤,34006.0,not among top 100 listed products
2020,PI_ifn,vaniprevir,内服薬 外来 (院外),抗ウイルス剤,76680.0,not among top 100 listed products
2021,PI_ifn,vaniprevir,内服薬 入院,抗ウイルス剤,1161.0,not among top 100 listed products
2021,PI_ifn,vaniprevir,内服薬 外来 (院内),抗ウイルス剤,21740.5,not among top 100 listed products
2021,PI_ifn,vaniprevir,内服薬 外来 (院外),抗ウイルス剤,57720.0,not among top 100 listed products
2022,PI_ifn,vaniprevir,内服薬 入院,抗ウイルス剤,1019.5,not among top 100 listed products
2022,PI_ifn,vaniprevir,内服薬 外来 (院内),抗ウイルス剤,20851.0,not among top 100 listed products
2022,PI_ifn,vaniprevir,内服薬 外来 (院外),抗ウイルス剤,55927.0,not among top 100 listed products
2023,PI_ifn,vaniprevir,内服薬 入院,抗ウイルス剤,1093.0,not among top 100 listed products
2023,PI_ifn,vaniprevir,内服薬 外来 (院内),抗ウイルス剤,19603.0,not among top 100 listed products
2023,PI_ifn,vaniprevir,内服薬 外来 (院外),抗ウイルス剤,41959.0,not among top 100 listed products
2018,ribavirin,ribavirin,内服薬 外来 (院内),抗ウイルス剤,49603.0,not among top 100 listed products
2018,ribavirin,ribavirin,内服薬 外来 (院外),抗ウイルス剤,125529.0,not among top 100 listed products
2019,ribavirin,ribavirin,内服薬 外来 (院外),抗ウイルス剤,117188.53,not among top 100 listed products
2020,ribavirin,ribavirin,内服薬 入院,抗ウイルス剤,1620.0,not among top 100 listed products
2020,ribavirin,ribavirin,内服薬 外来 (院内),抗ウイルス剤,34006.0,not among top 100 listed products
2020,ribavirin,ribavirin,内服薬 外来 (院外),抗ウイルス剤,76680.0,not among top 100 listed products
2021,ribavirin,ribavirin,内服薬 入院,抗ウイルス剤,1161.0,not among top 100 listed products
2021,ribavirin,ribavirin,内服薬 外来 (院内),抗ウイルス剤,21740.5,not among top 100 listed products
2021,ribavirin,ribavirin,内服薬 外来 (院外),抗ウイルス剤,57720.0,not among top 100 listed products
2022,ribavirin,ribavirin,内服薬 入院,抗ウイルス剤,1019.5,not among top 100 listed products
2022,ribavirin,ribavirin,内服薬 外来 (院内),抗ウイルス剤,20851.0,not among top 100 listed products
2022,ribavirin,ribavirin,内服薬 外来 (院外),抗ウイルス剤,55927.0,not among top 100 listed products
2023,ribavirin,ribavirin,内服薬 入院,抗ウイルス剤,999.0,"total shown as '-' (<1,000)"
2023,ribavirin,ribavirin,内服薬 外来 (院内),抗ウイルス剤,19603.0,not among top 100 listed products
