fy,sheet,cls,n_listed,min_listed_total,cap,cap_hit
2016,注射薬 入院,その他の生物学的製剤,37,409.89199999999994,,False
2016,注射薬 入院,抗ウイルス剤,25,1677.0,,False
2016,注射薬 外来 (院内),その他の生物学的製剤,34,431.6,,False
2016,注射薬 外来 (院内),抗ウイルス剤,25,554.3050000000001,,False
2016,注射薬 外来 (院外),その他の生物学的製剤,11,787.0,,False
2016,注射薬 外来 (院外),抗ウイルス剤,6,,,False
2017,内服薬 入院,抗ウイルス剤,100,1875.0,100.0,True
2017,内服薬 外来 (院内),抗ウイルス剤,100,48793.0,100.0,True
2017,内服薬 外来 (院外),抗ウイルス剤,100,97575.5,100.0,True
2017,外用薬 入院,その他の生物学的製剤,3,1079.0,,False
2017,外用薬 入院,抗ウイルス剤,18,3899.0,,False
2017,外用薬 外来 (院内),その他の生物学的製剤,3,40898.8,,False
2017,外用薬 外来 (院内),抗ウイルス剤,18,9791.55,,False
2017,外用薬 外来 (院外),抗ウイルス剤,18,6117.5,,False
2017,注射薬 入院,その他の生物学的製剤,37,476.6,,False
2017,注射薬 入院,抗ウイルス剤,24,3576.2,,False
2017,注射薬 外来 (院内),その他の生物学的製剤,34,414.5,,False
2017,注射薬 外来 (院内),抗ウイルス剤,24,727.5456,,False
2017,注射薬 外来 (院外),その他の生物学的製剤,11,499.0,,False
2017,注射薬 外来 (院外),抗ウイルス剤,10,,,False
2018,内服薬 入院,抗ウイルス剤,100,1787.5,100.0,True
2018,内服薬 外来 (院内),抗ウイルス剤,100,49603.0,100.0,True
2018,内服薬 外来 (院外),抗ウイルス剤,100,125529.0,100.0,True
2018,外用薬 入院,その他の生物学的製剤,2,2018.5,,False
2018,外用薬 入院,抗ウイルス剤,20,3248.4,,False
2018,外用薬 外来 (院内),その他の生物学的製剤,2,44019.75000000001,,False
2018,外用薬 外来 (院内),抗ウイルス剤,20,1415.5,,False
2018,外用薬 外来 (院外),抗ウイルス剤,20,5334.0,,False
2018,注射薬 入院,その他の生物学的製剤,31,570.0,30.0,True
2018,注射薬 入院,抗ウイルス剤,25,3525.2700000000004,,False
2018,注射薬 外来 (院内),その他の生物学的製剤,29,458.5,,False
2018,注射薬 外来 (院内),抗ウイルス剤,25,903.0,,False
2018,注射薬 外来 (院外),その他の生物学的製剤,9,8176.0,,False
2018,注射薬 外来 (院外),抗ウイルス剤,7,,,False
2019,内服薬 入院,抗ウイルス剤,100,1968.0,100.0,True
2019,内服薬 外来 (院内),抗ウイルス剤,100,49641.0,100.0,True
2019,内服薬 外来 (院外),抗ウイルス剤,100,117188.53,100.0,True
2019,外用薬 入院,その他の生物学的製剤,2,1874.0,,False
2019,外用薬 入院,抗ウイルス剤,19,2677.0,,False
2019,外用薬 外来 (院内),その他の生物学的製剤,2,47105.37500000001,,False
2019,外用薬 外来 (院内),抗ウイルス剤,19,8123.299999999999,,False
2019,外用薬 外来 (院外),抗ウイルス剤,19,1470.0,,False
2019,注射薬 入院,その他の生物学的製剤,31,561.0,30.0,True
2019,注射薬 入院,抗ウイルス剤,27,673.5,,False
2019,注射薬 外来 (院内),その他の生物学的製剤,31,405.74,30.0,True
2019,注射薬 外来 (院内),抗ウイルス剤,26,515.992,,False
2019,注射薬 外来 (院外),その他の生物学的製剤,8,7481.0,,False
2019,注射薬 外来 (院外),抗ウイルス剤,12,,,False
2020,内服薬 入院,抗ウイルス剤,100,1620.0,100.0,True
2020,内服薬 外来 (院内),抗ウイルス剤,100,34006.0,100.0,True
2020,内服薬 外来 (院外),抗ウイルス剤,100,76680.0,100.0,True
2020,外用薬 入院,その他の生物学的製剤,2,1918.0,,False
2020,外用薬 入院,抗ウイルス剤,23,2242.6,,False
2020,外用薬 外来 (院内),その他の生物学的製剤,2,52363.8,,False
2020,外用薬 外来 (院内),抗ウイルス剤,24,1646.6,,False
2020,外用薬 外来 (院外),抗ウイルス剤,24,5151.0,,False
2020,注射薬 入院,その他の生物学的製剤,31,431.25,30.0,True
2020,注射薬 入院,抗ウイルス剤,30,520.0,30.0,True
2020,注射薬 外来 (院内),その他の生物学的製剤,28,1325.0,,False
2020,注射薬 外来 (院内),抗ウイルス剤,30,480.0,30.0,True
2020,注射薬 外来 (院外),その他の生物学的製剤,8,5207.0,,False
2020,注射薬 外来 (院外),抗ウイルス剤,8,,,False
2021,内服薬 入院,抗ウイルス剤,100,1161.0,100.0,True
2021,内服薬 外来 (院内),抗ウイルス剤,100,21740.5,100.0,True
2021,内服薬 外来 (院外),抗ウイルス剤,100,57720.0,100.0,True
2021,外用薬 入院,その他の生物学的製剤,2,1792.375,,False
2021,外用薬 入院,抗ウイルス剤,23,1191.5,,False
2021,外用薬 外来 (院内),その他の生物学的製剤,2,55086.15,,False
2021,外用薬 外来 (院内),抗ウイルス剤,24,1299.0,,False
2021,外用薬 外来 (院外),抗ウイルス剤,23,1112.5,,False
2021,注射薬 入院,その他の生物学的製剤,33,471.0,30.0,True
2021,注射薬 入院,抗ウイルス剤,29,447.222,,False
2021,注射薬 外来 (院内),その他の生物学的製剤,30,712.9,30.0,True
2021,注射薬 外来 (院内),抗ウイルス剤,29,485.0008,,False
2021,注射薬 外来 (院外),その他の生物学的製剤,8,639.0,,False
2021,注射薬 外来 (院外),抗ウイルス剤,11,,,False
2022,内服薬 入院,抗ウイルス剤,100,1019.5,100.0,True
2022,内服薬 外来 (院内),抗ウイルス剤,100,20851.0,100.0,True
2022,内服薬 外来 (院外),抗ウイルス剤,100,55927.0,100.0,True
2022,外用薬 入院,その他の生物学的製剤,2,1326.0,,False
2022,外用薬 入院,抗ウイルス剤,24,1126.0,,False
2022,外用薬 外来 (院内),その他の生物学的製剤,2,58546.435,,False
2022,外用薬 外来 (院内),抗ウイルス剤,24,1303.0,,False
2022,外用薬 外来 (院外),抗ウイルス剤,24,3897.5,,False
2022,注射薬 入院,その他の生物学的製剤,34,432.4,,False
2022,注射薬 入院,抗ウイルス剤,32,826.7,30.0,True
2022,注射薬 外来 (院内),その他の生物学的製剤,31,718.0,30.0,True
2022,注射薬 外来 (院内),抗ウイルス剤,33,460.26,30.0,True
2022,注射薬 外来 (院外),その他の生物学的製剤,9,2586.0,,False
2022,注射薬 外来 (院外),抗ウイルス剤,13,631.0,,False
2023,内服薬 入院,抗ウイルス剤,100,1093.0,100.0,True
2023,内服薬 外来 (院内),抗ウイルス剤,100,19603.0,100.0,True
2023,内服薬 外来 (院外),抗ウイルス剤,100,41959.0,100.0,True
2023,外用薬 入院,その他の生物学的製剤,2,1339.0,,False
2023,外用薬 入院,抗ウイルス剤,23,1647.0,,False
2023,外用薬 外来 (院内),その他の生物学的製剤,2,61393.375,,False
2023,外用薬 外来 (院内),抗ウイルス剤,24,2357.0,,False
2023,外用薬 外来 (院外),抗ウイルス剤,24,1174.0,,False
2023,注射薬 入院,その他の生物学的製剤,38,594.0,,False
2023,注射薬 入院,抗ウイルス剤,29,539.16,,False
2023,注射薬 外来 (院内),その他の生物学的製剤,31,1000.0,30.0,True
2023,注射薬 外来 (院内),抗ウイルス剤,30,554.0,30.0,True
2023,注射薬 外来 (院外),その他の生物学的製剤,11,2742.0,,False
2023,注射薬 外来 (院外),抗ウイルス剤,13,633.0,,False
