fy,sheet,cls,n_listed,min_listed_total,cap,cap_hit
2014,内服薬 入院,抗ウイルス剤,30,19362.6,30.0,True
2014,内服薬 外来 (院内),抗ウイルス剤,30,305675.0,30.0,True
2014,内服薬 外来 (院外),抗ウイルス剤,30,668682.1,30.0,True
2014,外用薬 入院,その他の生物学的製剤,3,1036.0,,False
2014,外用薬 入院,抗ウイルス剤,23,1574.6,,False
2014,外用薬 外来 (院内),その他の生物学的製剤,3,1157.8429999999998,,False
2014,外用薬 外来 (院内),抗ウイルス剤,23,1972.0,,False
2014,外用薬 外来 (院外),抗ウイルス剤,23,2659.0,,False
2014,注射薬 入院,その他の生物学的製剤,30,1006.0,30.0,True
2014,注射薬 入院,抗ウイルス剤,29,1299.0,,False
2014,注射薬 外来 (院内),その他の生物学的製剤,30,1529.688,30.0,True
2014,注射薬 外来 (院内),抗ウイルス剤,29,1098.0,,False
2014,注射薬 外来 (院外),その他の生物学的製剤,12,1900.0,,False
2014,注射薬 外来 (院外),抗ウイルス剤,7,,,False
2015,内服薬 入院,抗ウイルス剤,100,1024.7,100.0,True
2015,内服薬 外来 (院内),抗ウイルス剤,100,28812.0,100.0,True
2015,内服薬 外来 (院外),抗ウイルス剤,100,56001.615,100.0,True
2015,外用薬 入院,その他の生物学的製剤,3,1179.5,,False
2015,外用薬 入院,抗ウイルス剤,22,1855.8,,False
2015,外用薬 外来 (院内),その他の生物学的製剤,3,37450.5,,False
2015,外用薬 外来 (院内),抗ウイルス剤,22,4018.0,,False
2015,外用薬 外来 (院外),抗ウイルス剤,22,3244.0,,False
2015,注射薬 入院,その他の生物学的製剤,38,1034.1999999999998,,False
2015,注射薬 入院,抗ウイルス剤,26,1108.0,,False
2015,注射薬 外来 (院内),その他の生物学的製剤,34,2090.0,,False
2015,注射薬 外来 (院内),抗ウイルス剤,27,1542.0,,False
2015,注射薬 外来 (院外),その他の生物学的製剤,11,2699.0,,False
2015,注射薬 外来 (院外),抗ウイルス剤,7,,,False
2016,内服薬 入院,抗ウイルス剤,100,1058.5,100.0,True
2016,内服薬 外来 (院内),抗ウイルス剤,100,31084.0,100.0,True
2016,内服薬 外来 (院外),抗ウイルス剤,100,62798.42500000001,100.0,True
2016,外用薬 入院,その他の生物学的製剤,3,1070.0,,False
2016,外用薬 入院,抗ウイルス剤,20,1964.3999999999999,,False
2016,外用薬 外来 (院内),その他の生物学的製剤,3,40117.675,,False
2016,外用薬 外来 (院内),抗ウイルス剤,20,6735.7,,False
2016,外用薬 外来 (院外),抗ウイルス剤,20,4812.5,,False
